Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude,geometry
2017,30/11,30/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,28/11,28/11/2017,Kelantan,Pasir Mas,Rantau Panjang,"Rantau Panjang, Pasir Mas, Kelantan",1,6.0181186,101.9728195,POINT (101.9728195 6.0181186)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Pasir Mas,"Pasir Mas, Pasir Mas, Kelantan",1,6.0416128,102.1429248,POINT (102.1429248 6.0416128)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,28/11,28/11/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,12-Mar,3/12/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,28/11,28/11/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,28/11,28/11/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,27/11,27/11/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,27/11,27/11/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,28/11,28/11/2017,Kelantan,Pasir Mas,Gual Periok,"Gual Periok, Pasir Mas, Kelantan",1,6.025154,102.026678,POINT (102.026678 6.025154)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Alor Pasir,"Alor Pasir, Pasir Mas, Kelantan",1,6.0139299,102.0691867,POINT (102.0691867 6.0139299)
2017,28/11,28/11/2017,Kelantan,Pasir Mas,Alor Pasir,"Alor Pasir, Pasir Mas, Kelantan",1,6.0139299,102.0691867,POINT (102.0691867 6.0139299)
2017,30/11,30/11/2017,Kelantan,Pasir Mas,Alor Pasir,"Alor Pasir, Pasir Mas, Kelantan",1,6.0139299,102.0691867,POINT (102.0691867 6.0139299)
2017,27/11,27/11/2017,Kelantan,Pasir Mas,Lemal,"Lemal, Pasir Mas, Kelantan",1,5.997789,102.1041361,POINT (102.1041361 5.997789)
2017,29/11,29/11/2017,Kelantan,Pasir Mas,Bunut Susu,"Bunut Susu, Pasir Mas, Kelantan",1,6.0962566,102.1759527,POINT (102.1759527 6.0962566)
2017,28/11,28/11/2017,Kelantan,Tumpat,Pengkalan Kubor,"Pengkalan Kubor, Tumpat, Kelantan",1,6.231916,102.091924,POINT (102.091924 6.231916)
2017,26/11,26/11/2017,Kelantan,Pasir Puteh,Kg. Bukit Awang,"Kg. Bukit Awang, Pasir Puteh, Kelantan",1,5.7849745,102.4510302,POINT (102.4510302 5.7849745)
2017,28/11,28/11/2017,Kelantan,Pasir Puteh,Kg. Gong Pasir,"Kg. Gong Pasir, Pasir Puteh, Kelantan",1,5.7599198,102.3313862,POINT (102.3313862 5.7599198)
2017,28/11,28/11/2017,Kelantan,Pasir Puteh,Kg. Dalam Rhu,"Kg. Dalam Rhu, Pasir Puteh, Kelantan",1,5.8548476,102.5217094,POINT (102.5217094 5.8548476)
2017,28/11,28/11/2017,Kelantan,Pasir Puteh,Kg. Nara,"Kg. Nara, Pasir Puteh, Kelantan",1,5.8345488,102.4086697,POINT (102.4086697 5.8345488)
2017,28/11,28/11/2017,Kelantan,Pasir Puteh,Kg. Kulim,"Kg. Kulim, Pasir Puteh, Kelantan",1,5.8663901,102.426108,POINT (102.426108 5.8663901)
2017,27/11,27/11/2017,Kelantan,Kota Bharu,Peringat,"Peringat, Kota Bharu, Kelantan",1,6.0225511,102.2867408,POINT (102.2867408 6.0225511)
2017,27/11,27/11/2017,Kelantan,Kota Bharu,Kadok,"Kadok, Kota Bharu, Kelantan",1,5.9948606,102.2455147,POINT (102.2455147 5.9948606)
2017,27/11,27/11/2017,Kelantan,Kota Bharu,Ketereh,"Ketereh, Kota Bharu, Kelantan",1,5.9588765,102.251282,POINT (102.251282 5.9588765)
